6	2
2	2
3.17703	3.79375
6.13604	8.66929
6.7379	2.3979
3.9018	2.73083
2.24279	7.14912
1.13896	2.10727
3.14177	3.49506
2.03378	7.34225
5.46165	8.82902
2.0275	2.50312
5.82468	7.19947
6.14169	1.81524
2.26517	7.62286
1.64391	8.527
3.05912	5.29149
1.05887	7.66004
3.50489	6.045
2.90688	7.88543
2.15105	7.60148
1.07962	1.4591
2.26283	2.222
1.65472	8.98157
6.50643	7.40061
5.84103	2.50925
4.57941	1.07488
6.96751	1.38489
1.57672	1.20441
4.82826	5.45733
4.57246	5.41877
4.81994	2.59862
2.34704	2.80594
3.89582	6.09185
4.72054	2.14355
5.26338	2.50109
6.43278	7.09339
3.28289	6.83394
3.96288	3.64106
3.92647	3.6575
